%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1585289618071231770,8235,1585289618070095516,foot_imu_link,-0.196894288063,-0.156691685319,-0.639847576618,0.726137399673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000177114270627,-0.000948626431637,-0.00283697294071,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.62442302704,0.804193854332,-8.40235900879,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618095137499,8236,1585289618094724173,foot_imu_link,-0.196909382939,-0.156717643142,-0.639851391315,0.726124286652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00153245870024,-0.000816294399556,-0.000689159147441,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.6213684082,0.793223977089,-8.43379116058,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618120271836,8237,1585289618119869581,foot_imu_link,-0.196916803718,-0.156734243035,-0.639854311943,0.72611618042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10817223787e-05,-0.00171914231032,-0.000649334862828,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.61530017853,0.815832495689,-8.40850734711,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618145667313,8238,1585289618144924963,foot_imu_link,-0.196929588914,-0.156764179468,-0.639859437943,0.726101756096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000454279594123,-0.00240425392985,6.83031976223e-06,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.60899305344,0.815179467201,-8.40420436859,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618170652144,8239,1585289618170015254,foot_imu_link,-0.19694070518,-0.156781673431,-0.639863491058,0.726091384888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000533270649612,-0.00133346044458,-0.000241559930146,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.61351633072,0.78935021162,-8.43603515625,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618195703622,8240,1585289618195006934,foot_imu_link,-0.196962058544,-0.156801626086,-0.639858782291,0.726085424423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000674114562571,-0.00103513104841,0.000477011781186,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.65497350693,0.826499164104,-8.43699645996,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618220961290,8241,1585289618220270823,foot_imu_link,-0.196964114904,-0.156796827912,-0.639867663383,0.726078033447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00142727605999,0.000535138649866,-0.000317302532494,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.61572313309,0.844024777412,-8.44487953186,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618245789345,8242,1585289618245113808,foot_imu_link,-0.196969300508,-0.156790733337,-0.639862239361,0.726082801819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00164066627622,0.000415641698055,-0.000154113862664,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.61448574066,0.827015817165,-8.43900299072,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618270578631,8243,1585289618269815250,foot_imu_link,-0.196966707706,-0.156772509217,-0.639860808849,0.726088583469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00228459946811,-0.000231231562793,0.00100342137739,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.61287212372,0.825075447559,-8.40339660645,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289618295704926,8244,1585289618295067767,foot_imu_link,-0.196967884898,-0.156752824783,-0.639856338501,0.726096510887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000860104337335,0.00194633519277,0.0015137582086,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.62036418915,0.814802825451,-8.36612892151,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
