%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1584954936793586490,2262,1584954936793327157,imu_link,0.0362219326198,-0.230214953423,0.606401562691,0.760240912437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193392131478,0.0154360570014,-0.017440751195,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.7327876091,2.18002963066,-8.48623180389,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936818587494,2263,1584954936818316424,imu_link,0.0364065021276,-0.229941904545,0.60627835989,0.760412991047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226752292365,0.00645419117063,-0.0250223614275,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.74797868729,2.15907979012,-8.51808834076,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936843538435,2264,1584954936843285941,imu_link,0.0366656668484,-0.229687035084,0.606139838696,0.760587990284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259678773582,0.00500386254862,-0.0225025825202,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.75734615326,2.1011967659,-8.54371070862,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936868651234,2265,1584954936868251045,imu_link,0.0369216166437,-0.229454323649,0.606019794941,0.760741472244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235192626715,0.0029582742136,-0.0201748125255,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.79279398918,2.10885310173,-8.55772781372,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936893754677,2266,1584954936893429431,imu_link,0.037174616009,-0.229266956449,0.605924487114,0.760861575603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212457031012,0.0013191474136,-0.0154028944671,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.79817914963,2.06865119934,-8.5338306427,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936919171088,2267,1584954936918595695,imu_link,0.0373589284718,-0.229102045298,0.605879247189,0.760938227177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181561410427,0.00185554521158,-0.009017909877,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.74546909332,2.07675647736,-8.50285625458,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936944156043,2268,1584954936943548218,imu_link,0.0375400222838,-0.228980720043,0.605847775936,0.760990858078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154927801341,-0.00554178049788,-0.00846351496875,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.72892212868,2.09441661835,-8.54065895081,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936969073122,2269,1584954936968539628,imu_link,0.0376267768443,-0.228928133845,0.605785012245,0.761052429676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00130664370954,0.00519319111481,-0.00638084765524,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.76363992691,2.04502058029,-8.5283870697,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954936994423992,2270,1584954936993613057,imu_link,0.0376275330782,-0.228937983513,0.605733275414,0.761090576649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00395488087088,-0.00382003095001,-0.00453826226294,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.75767731667,2.09007811546,-8.56921482086,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937019899282,2271,1584954937018777810,imu_link,0.0375201068819,-0.22897259891,0.60567253828,0.761133730412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0116337928921,0.00750416470692,-0.0042762439698,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.7681889534,2.09759068489,-8.53276824951,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937043587784,2272,1584954937043225765,imu_link,0.0373743325472,-0.228973373771,0.60561299324,0.761188089848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00737942382693,0.00730421580374,-0.00634738616645,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.74765849113,2.139970541,-8.54039669037,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937068393501,2273,1584954937068097489,imu_link,0.0371773205698,-0.228925898671,0.605547785759,0.761263906956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0135925905779,0.0181450564414,-0.00228239130229,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.77799677849,2.07508897781,-8.52498531342,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937093377970,2274,1584954937093071429,imu_link,0.0369446761906,-0.228886261582,0.605528473854,0.761302530766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010606110096,0.0113646890968,0.000643827021122,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.74274778366,2.10258054733,-8.53998470306,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937118516618,2275,1584954937118168701,imu_link,0.0368269756436,-0.22889995575,0.605534136295,0.761299550533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009231954813,0.00395120447502,0.00345210079104,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.75714731216,2.09291124344,-8.5083322525,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937143403262,2276,1584954937143071389,imu_link,0.0365309044719,-0.228894993663,0.605562627316,0.761292695999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019372548908,0.0193272139877,0.00665345368907,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.75542259216,2.1556096077,-8.55501461029,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937168457492,2277,1584954937168111743,imu_link,0.0361327268183,-0.228824406862,0.605587184429,0.761313319206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0240322090685,0.0271062999964,0.00719153089449,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.7462015152,2.12554454803,-8.52335357666,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937193907906,2278,1584954937193091271,imu_link,0.035575479269,-0.228751689196,0.605592131615,0.761357486248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0356121920049,0.0320330820978,0.00832790974528,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.73674893379,2.15733957291,-8.5301618576,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937218341979,2279,1584954937218048519,imu_link,0.0348934046924,-0.228732824326,0.605601549149,0.761387169361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0460415184498,0.0349934063852,0.0142307924107,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.75343394279,2.12312817574,-8.52637672424,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937243306498,2280,1584954937243025407,imu_link,0.0343437828124,-0.228745698929,0.605579912663,0.761425495148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0311966240406,0.0257134884596,0.00296210963279,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.72274684906,2.12860918045,-8.53159713745,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937268355544,2281,1584954937267983853,imu_link,0.0338785909116,-0.228768572211,0.60553830862,0.761472702026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295088533312,0.0244465768337,0.00201209122315,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.70164299011,2.13403296471,-8.5293264389,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937293297932,2282,1584954937292995257,imu_link,0.0331881940365,-0.228795617819,0.605500996113,0.761524498463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0500363893807,0.0309885982424,0.00947663001716,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.72420883179,2.14640021324,-8.55207538605,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1584954937318245821,2283,1584954937317945631,imu_link,0.0324499644339,-0.228910773993,0.605473637581,0.761543571949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0540781095624,0.0290436856449,0.0125308036804,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.70568227768,2.19377160072,-8.54914474487,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
